Geolocation_Key,Time_Key,Goal_Key,Target_Key,value
14,717,204,420,71.11
14,718,204,420,73.86
14,719,204,420,79.85
14,720,204,420,81.13
14,721,204,420,80.1995
14,722,204,420,
14,723,204,420,
15,701,204,420,60.1
15,702,204,420,53.53
15,703,204,420,57.07
15,704,204,420,57.37
15,705,204,420,56.28
15,706,204,420,54.48
15,707,204,420,52.9
15,708,204,420,53.93
15,709,204,420,53.39
15,710,204,420,59.48
15,711,204,420,61.68
15,712,204,420,62.55
15,713,204,420,63.87
15,714,204,420,66.62
15,715,204,420,66.96
15,716,204,420,75.39
15,717,204,420,77.38
15,718,204,420,80.6
15,719,204,420,87.76
15,720,204,420,90.98
15,721,204,420,86.9362
15,722,204,420,
15,723,204,420,
16,701,204,420,72.55
16,702,204,420,55.2
16,703,204,420,58.89
16,704,204,420,59.45
16,705,204,420,61.04
16,706,204,420,56.69
16,707,204,420,53.96
16,708,204,420,55.91
16,709,204,420,57.23
16,710,204,420,56.5
16,711,204,420,59.76
16,712,204,420,59.67
16,713,204,420,61.14
16,714,204,420,63.66
16,715,204,420,64.26
16,716,204,420,71.56
16,717,204,420,71.36
16,718,204,420,74.2
16,719,204,420,80.14
16,720,204,420,81.29
16,721,204,420,82.0809
16,722,204,420,
16,723,204,420,
2,701,204,420,76.37
2,702,204,420,65.8
2,703,204,420,67.49
2,704,204,420,68.74
2,705,204,420,67.77
2,706,204,420,64.89
2,707,204,420,65.67
2,708,204,420,63.57
2,709,204,420,62.71
2,710,204,420,71.8
2,711,204,420,70.68
2,712,204,420,75.39
2,713,204,420,77.62
2,714,204,420,78.84
2,715,204,420,79.73
2,716,204,420,84.08
2,717,204,420,85.5
2,718,204,420,85.57
2,719,204,420,88.13
2,720,204,420,88.9
2,721,204,420,88.1383
2,722,204,420,
2,723,204,420,
3,701,204,416,79.05
3,702,204,416,67.84
3,703,204,416,75.28
3,704,204,416,76.42
3,705,204,416,76.4
3,706,204,416,74.99
3,707,204,416,75.12
3,708,204,416,80.16
3,709,204,416,80.79
3,710,204,416,76.69
3,711,204,416,79.57
3,712,204,416,79.79
3,713,204,416,81.02
3,714,204,416,81.64
3,715,204,416,78.93
3,716,204,416,84.1
3,717,204,416,83.37
3,718,204,416,84.76
3,719,204,416,88.74
3,720,204,416,89.68
3,721,204,416,85.1646
3,722,204,416,
3,723,204,416,
4,701,204,416,87.51
4,702,204,416,68.21
4,703,204,416,68.33
4,704,204,416,68.05
4,705,204,416,66.96
4,706,204,416,65.83
4,707,204,416,68.19
4,708,204,416,67.62
4,709,204,416,68.22
4,710,204,416,71.77
4,711,204,416,76.4
4,712,204,416,76.19
4,713,204,416,77.67
4,714,204,416,79.89
4,715,204,416,79.24
4,716,204,416,84.02
4,717,204,416,84.85
4,718,204,416,85.56
4,719,204,416,87.81
4,720,204,416,89.85
4,721,204,416,90.1031
4,722,204,416,
4,723,204,416,
5,701,204,416,77.11
5,702,204,416,59.67
5,703,204,416,59.54
5,704,204,416,61.65
5,705,204,416,60.64
5,706,204,416,59.02
5,707,204,416,58.85
5,708,204,416,59.47
5,709,204,416,58.34
5,710,204,416,66.95
5,711,204,416,69.61
5,712,204,416,70.5
5,713,204,416,71.31
5,714,204,416,72.9
5,715,204,416,72.44
5,716,204,416,77.58
5,717,204,416,78.97
5,718,204,416,80.89
5,719,204,416,84.76
5,720,204,416,88.81
5,721,204,416,93.4367
5,722,204,416,
5,723,204,416,
6,701,204,416,74.32
6,702,204,416,66.82
6,703,204,416,67.74
6,704,204,416,69.35
6,705,204,416,69.81
6,706,204,416,68.93
6,707,204,416,69.13
6,708,204,416,70.78
6,709,204,416,71.24
6,710,204,416,68.41
6,711,204,416,74.4
6,712,204,416,74.59
6,713,204,416,75.34
6,714,204,416,77.86
6,715,204,416,77.54
6,716,204,416,81.71
6,717,204,416,82.78
6,718,204,416,82.84
6,719,204,416,85.01
6,720,204,416,87.69
6,721,204,416,86.0948
6,722,204,416,
6,723,204,416,
7,701,204,416,71.03
7,702,204,416,66.24
7,703,204,416,68.16
7,704,204,416,70.19
7,705,204,416,70.94
7,706,204,416,69.1
7,707,204,416,71.26
7,708,204,416,73.86
7,709,204,416,74.89
7,710,204,416,67.03
7,711,204,416,70.28
7,712,204,416,72.46
7,713,204,416,73.74
7,714,204,416,74.64
7,715,204,416,74.23
7,716,204,416,80.25
7,717,204,416,81.41
7,718,204,416,82.51
7,719,204,416,86.38
7,720,204,416,87.85
7,721,204,416,84.4897
7,722,204,416,
7,723,204,416,
10,701,204,416,62.05
10,702,204,416,55.56
10,703,204,416,54.86
10,704,204,416,55.61
10,705,204,416,55.82
10,706,204,416,53.24
10,707,204,416,54.33
10,708,204,416,55.97
10,709,204,416,55.24
10,710,204,416,54.92
10,711,204,416,57.77
10,712,204,416,60.8
10,713,204,416,61.52
10,714,204,416,64.78
10,715,204,416,64.73
10,716,204,416,71.75
10,717,204,416,72.78
10,718,204,416,75.88
10,719,204,416,82.97
10,720,204,416,82.27
10,721,204,416,75.087
10,722,204,416,
10,723,204,416,
11,701,204,416,59.47
11,702,204,416,58.38
11,703,204,416,57.32
11,704,204,416,57.86
11,705,204,416,56.96
11,706,204,416,54.91
11,707,204,416,52.89
11,708,204,416,53.83
11,709,204,416,53.98
11,710,204,416,55.83
11,711,204,416,61.36
11,712,204,416,62.4
11,713,204,416,63.15
11,714,204,416,65.21
11,715,204,416,65.11
11,716,204,416,74.67
11,717,204,416,74.2
11,718,204,416,76.41
11,719,204,416,84.54
11,720,204,416,85.68
11,721,204,416,87.906
11,722,204,416,
11,723,204,416,
12,701,204,416,67.18
12,702,204,416,55.65
12,703,204,416,57.3
12,704,204,416,58.38
12,705,204,416,57.4
12,706,204,416,54.76
12,707,204,416,53.86
12,708,204,416,54.57
12,709,204,416,55.49
12,710,204,416,56.69
12,711,204,416,61.46
12,712,204,416,61.16
12,713,204,416,64.02
12,714,204,416,68.13
12,715,204,416,67.76
12,716,204,416,75.94
12,717,204,416,76.58
12,718,204,416,78.51
12,719,204,416,87.64
12,720,204,416,88.52
12,721,204,416,85.4465
12,722,204,416,
12,723,204,416,
13,701,204,416,48.21
13,702,204,416,48.48
13,703,204,416,48.99
13,704,204,416,49.96
13,705,204,416,50.64
13,706,204,416,50.09
13,707,204,416,49.88
13,708,204,416,51.49
13,709,204,416,53.28
13,710,204,416,52.45
13,711,204,416,56.55
13,712,204,416,58.48
13,713,204,416,60.03
13,714,204,416,63.32
13,715,204,416,62.3
13,716,204,416,69.55
13,717,204,416,70.89
13,718,204,416,74.21
13,719,204,416,79.27
13,720,204,416,80.05
13,721,204,416,81.609
13,722,204,416,
13,723,204,416,
9,701,204,416,59.75
9,702,204,416,43.95
9,703,204,416,49.24
9,704,204,416,49.31
9,705,204,416,50.47
9,706,204,416,47.17
9,707,204,416,47.7
9,708,204,416,50.18
9,709,204,416,49.28
9,710,204,416,48.75
9,711,204,416,51.02
9,712,204,416,50.83
9,713,204,416,51.63
9,714,204,416,52.83
9,715,204,416,53.14
9,716,204,416,61.73
9,717,204,416,62.18
9,718,204,416,65.44
9,719,204,416,73.88
9,720,204,416,74.24
9,721,204,416,74.8405
9,722,204,416,
9,723,204,416,
14,701,204,416,57.26
14,702,204,416,51.92
14,703,204,416,53.4
14,704,204,416,53.8
14,705,204,416,52.08
14,706,204,416,51.27
14,707,204,416,51.23
14,708,204,416,51.7
14,709,204,416,50.67
14,710,204,416,50.61
14,711,204,416,55.24
14,712,204,416,55.55
14,713,204,416,57.35
14,714,204,416,56.67
14,715,204,416,57.55
14,716,204,416,63.77
14,717,204,416,65.08
14,718,204,416,68.09
14,719,204,416,75.27
14,720,204,416,76.75
14,721,204,416,76.5254
14,722,204,416,
14,723,204,416,
15,701,204,416,57.05
15,702,204,416,48.9
15,703,204,416,52.28
15,704,204,416,52.11
15,705,204,416,51.16
15,706,204,416,49.02
15,707,204,416,47.84
15,708,204,416,49.12
15,709,204,416,48.61
15,710,204,416,54.47
15,711,204,416,55.87
15,712,204,416,56.52
15,713,204,416,57.49
15,714,204,416,60.04
15,715,204,416,60.2
15,716,204,416,68.37
15,717,204,416,70.57
15,718,204,416,74.27
15,719,204,416,82.25
15,720,204,416,85.44
15,721,204,416,81.6703
15,722,204,416,
15,723,204,416,
16,701,204,416,69.48
16,702,204,416,50.56
16,703,204,416,53.38
16,704,204,416,53.86
16,705,204,416,55.24
16,706,204,416,51.33
16,707,204,416,48.85
16,708,204,416,50.62
16,709,204,416,51.8
16,710,204,416,51.22
16,711,204,416,54.15
16,712,204,416,53.97
16,713,204,416,55.11
16,714,204,416,56.88
16,715,204,416,57.87
16,716,204,416,64.82
